"lang_key","group","key","value"
"en","common","enabled","Enabled"
"en","common","disabled","Disabled"
"en","common","id","Id"
"en","common","action","Action"
"en","common","placeholder_default_text","Please Enter {0}"
"en","common","placeholder_social_text","Please Enter {0} Url"
"en","common","placeholder_search_text","Search By {0}"
"en","common","select_default_text","Select {0}..."
"en","common","create","Create"
"en","common","edit","Edit"
"en","common","update","Update"
"en","common","cancel","Cancel"
"en","common","delete","Delete"
"en","common","success","Success"
"en","common","error","Error"
"en","common","yes","Yes"
"en","common","no","No"
"en","common","fix_errors","Please Fix Below Errors."
"en","common","cancelled","Cancelled"
"en","common","pending","Pending"
"en","common","paid","Paid"
"en","common","completed","Completed"
"en","common","save","Save"
"en","common","all","All"
"en","common","name","Name"
"en","common","back","Back"
"en","common","max_amount","Max. Amount"
"en","common","date_time","Date Time"
"en","common","select_time","Select Time"
"en","common","start_date","Start Date"
"en","common","end_date","End Date"
"en","common","search","Search"
"en","common","date","Date"
"en","common","out_of_stock","Out Of Stock"
"en","common","pay","Pay"
"en","common","received","Received"
"en","common","with_tax","With Tax"
"en","common","without_tax","Without Tax"
"en","common","invoice_number","Invoice Number"
"en","common","ordered","Ordered"
"en","common","confirmed","Confirmed"
"en","common","processing","Processing"
"en","common","shipping","Shipping"
"en","common","delivered","Delivered"
"en","common","confirm","Confirm"
"en","common","title","Title"
"en","common","value","Value"
"en","common","add","Add"
"en","common","view","View"
"en","common","download","Download"
"en","common","change_order_status","Change Order Status"
"en","common","total","Total"
"en","common","print_invoice","Print Invoice"
"en","common","email","Email"
"en","common","phone","Phone"
"en","common","item","Item"
"en","common","items","Items"
"en","common","qty","Qty"
"en","common","rate","Rate"
"en","common","purchase_code","Purchase Code"
"en","common","verify_purchase","Verify Purchase"
"en","common","buy_now","Buy Now"
"en","common","install","Install"
"en","common","installing","Installing"
"en","common","updating","Updating"
"en","common","free","Free"
"en","common","domain","Domain"
"en","common","verify","Verify"
"en","common","send","Send"
"en","common","upload","Upload"
"en","common","view_all","View All"
"en","common","unpaid","Unpaid"
"en","common","loading","Loading"
"en","common","update_app","Update App"
"en","common","welcome_back","Welcome {0}"
"en","common","off","Off"
"en","common","on_create","On Create"
"en","common","on_update","On Update"
"en","common","on_delete","On Delete"
"en","common","demo_account_credentials","Demo account login credentials"
"en","common","balance","Balance"
"en","common","party","Party"
"en","common","created_by","Created By"
"en","common","import","Import"
"en","common","file","File"
"en","common","copy_url","Copy Url"
"en","common","print","Print"
"en","common","pdf","Pdf"
"en","common","particulars","Particulars"
"en","common","amount","Amount"
"en","common","profit","Profit"
"en","common","profit_reports_by_orders","Profit Reports By Orders"
"en","common","profit_reports_by_payments","Profit Reports By Payments"
"en","common","status","Status"
"en","common","active","Active"
"en","common","inactive","Inactive"
"en","common","verified","Verified"
"en","common","configure","Configure"
"en","common","logo","Logo"
"en","common","comment","Comment"
"en","common","rating","Rating"
"en","common","page_content","Page Content"
"en","common","slug","Slug"
"en","common","question","Question"
"en","common","answer","Answer"
"en","common","description","Description"
"en","common","image","Image"
"en","common","address","Address"
"en","common","not_allowed","Not Allowed"
"en","common","details","Details"
"en","menu","dashboard","Dashboard"
"en","menu","stock_management","Stock Manager"
"en","menu","purchase","Purchase"
"en","menu","purchases","Purchases"
"en","menu","purchase_returns","Purchase Return / Dr. Note"
"en","menu","sales","Sales"
"en","menu","sales_returns","Sales Return / Cr. Note"
"en","menu","product_manager","Product Manager"
"en","menu","brands","Brands"
"en","menu","categories","Categories"
"en","menu","products","Products"
"en","menu","expense_manager","Expenses"
"en","menu","expense_categories","Expense Categories"
"en","menu","expenses","Expenses"
"en","menu","users","Users"
"en","menu","parties","Parties"
"en","menu","staff_members","Staff Members"
"en","menu","customers","Customers"
"en","menu","suppliers","Suppliers"
"en","menu","settings","Settings"
"en","menu","company","Company Settings"
"en","menu","profile","Profile"
"en","menu","translations","Translations"
"en","menu","languages","Languages"
"en","menu","warehouses","Warehouses"
"en","menu","roles","Role & Permissions"
"en","menu","taxes","Taxes"
"en","menu","currencies","Currencies"
"en","menu","payment_modes","Payment Modes"
"en","menu","units","Units"
"en","menu","login","Login"
"en","menu","logout","Logout"
"en","menu","reports","Reports"
"en","menu","order_payments","Order Payments"
"en","menu","payments","Payments"
"en","menu","stock_alert","Stock Alert"
"en","menu","users_reports","Users Reports"
"en","menu","warehouses_reports","Warehouses Reports"
"en","menu","pos","POS"
"en","menu","stock_adjustment","Stock Adjustment"
"en","menu","verify_product","Verify Product"
"en","menu","modules","Modules"
"en","menu","storage_settings","Storage Settings"
"en","menu","email_settings","Email Settings"
"en","menu","update_app","Update App"
"en","menu","custom_fields","Custom Fields"
"en","menu","payment_in","Payment In"
"en","menu","payment_out","Payment Out"
"en","menu","cash_bank","Cash & Bank"
"en","menu","sales_summary","Sales Summary"
"en","menu","stock_summary","Stock Summary"
"en","menu","rate_list","Rate List"
"en","menu","product_sales_summary","Product Sales Summary"
"en","menu","homepage","Buy online products"
"en","menu","online_orders","Online Orders"
"en","menu","website_setup","Website Setup"
"en","menu","product_cards","Product Cards"
"en","menu","front_settings","Front Settings"
"en","menu","orders","Orders"
"en","menu","quotations","Quotations"
"en","menu","quotation","Quotation"
"en","menu","quotation_estimate","Quotation / Estimate"
"en","menu","database_backup","Database Backup"
"en","menu","stock_transfer","Stock Transfer"
"en","menu","stock_transfers","Stock Transfers"
"en","menu","profit_loss","Profit & Loss"
"en","menu","companies","Companies"
"en","dashboard","dashboard","Dashboard"
"en","dashboard","recent_stock_history","Recent Stock History"
"en","dashboard","top_selling_product","Top Selling Product"
"en","dashboard","sales_purchases","Sales & Purchases"
"en","dashboard","total_sales","Total Sales"
"en","dashboard","top_customers","Top Customers"
"en","dashboard","total_expenses","Total Expenses"
"en","dashboard","payment_sent","Payment Sent"
"en","dashboard","payment_received","Payment Received"
"en","dashboard","total_sales_items","Total Sales Items"
"en","dashboard","total_sales_returns_items","Total Sales Returns Items"
"en","dashboard","total_purchases_items","Total Purchase Items"
"en","dashboard","total_purchase_returns_items","Total Purchase Returns Items"
"en","user","email_phone","Email or Phone"
"en","user","user","User"
"en","user","name","Name"
"en","user","created_at","Created At"
"en","user","email","Email"
"en","user","password","Password"
"en","user","login_enabled","Login Enabled"
"en","user","profile_image","Profile Image"
"en","user","company_name","Company Name"
"en","user","phone","Phone Number"
"en","user","address","Address"
"en","user","city","City"
"en","user","state","State"
"en","user","country","Country"
"en","user","zipcode","Zipcode"
"en","user","billing_address","Billing Address"
"en","user","shipping_address","Shipping Address"
"en","user","opening_balance","Opening Balance"
"en","user","credit_period","Credit Period"
"en","user","credit_limit","Credit Limit"
"en","user","to_receive","To Collect"
